order,species,latin,sex.studied,sex.diff,incl.sex.analysis,justif.excl.sex.analysis,season.studied,season.diff,incl.season.analysis,justif.excl.season.analysis,study,year
Passeriforme,Black-capped chickadee,Parus atricapillus,1,1,1,,1,1,1,,Van Huynh et al. 2019,2019
Passeriforme,Blue jay,Cyanocitta cristata,0,NA,0,,1,1,0,sexes unspecified,Haribal et al. 2005,2005
Passeriforme,Bohemian waxwing,Bombycilla garrulus,1,0,1,,0,NA,0,,Zhang et al. 2013,2013
Passeriforme,Carolina chickadee,Parus carolinensis,1,1,1,,1,1,1,,Van Huynh et al. 2019,2019
Passeriforme,Chaffinch,Fringilla coelebs,1,0,0,sampling period unclear,1,1,1,,Fluen 2008 (Master thesis),2008
Passeriforme,Common redpoll,Carduelis flammea,1,0,0,sampling period unclear,1,1,1,,Fluen 2008 (Master thesis),2008
Passeriforme,Dark-eyed junco,Junco hyemalis,1,1,0,data also used in Whittaker et al. 2011,0,NA,0,,Whittaker et al. 2013,2013
Passeriforme,Dark-eyed junco,Junco hyemalis,1,1,1,,1,1,1,,Soini et al. 2007,2007
Passeriforme,Dark-eyed junco,Junco hyemalis,1,1,1,,0,NA,0,,Whittaker et al. 2010,2010
Passeriforme,Dark-eyed junco,Junco hyemalis,1,1,1,,1,1,1,,Whittaker et al. 2011,2011
Passeriforme,Dark-eyed junco,Junco hyemalis,1,0,1,,0,NA,0,,Whittaker et al. 2018,2018
Passeriforme,Dark-eyed junco,Junco hyemalis,1,0,1,,0,NA,0,,Whittaker et al. 2016,2016
Passeriforme,Dunnock,Prunella modularis,1,0,0,sampling period unclear,1,1,1,,Fluen 2008 (Master thesis),2008
Passeriforme,Eurasian blackbird,Turdus merula,1,0,0,sampling period unclear,1,1,1,,Fluen 2008 (Master thesis),2008
Passeriforme,Eurasian blackbird,Turdus merula,1,1,1,,1,0,0,sexes unspecified,Díez-Fernández 2021,2021
Passeriforme,European goldfinch,Carduelis carduelis,1,0,0,sampling period unclear,1,1,1,,Fluen 2008 (Master thesis),2008
Passeriforme,European greenfinch,Carduelis chloris,1,0,0,sampling period unclear,1,1,1,,Fluen 2008 (Master thesis),2008
Passeriforme,Gray catbird,Dumetella carolinensis,1,0,0,sampling period too long spans over both breeding and early non-breeding period,1,1,1,,Shaw et al. 2011,2011
Passeriforme,Gray catbird,Dumetella carolinensis,1,0,1,,1,1,1,,Whelan et al. 2010,2010
Passeriforme,Great tit,Parus major,1,1,1,,0,NA,0,,Jacob et al. 2014,2014
Passeriforme,Grey gerigone,Gerygone igata,1,1,1,,0,NA,0,,Rasmussen 2013 (PhD thesis),2013
Passeriforme,House finch,Carpodacus mexicanus,0,NA,0,,1,1,0,sexes unspecified,Haribal et al. 2005,2005
Passeriforme,House finch,Carpodacus mexicanus,0,NA,0,,1,1,0,sexes unspecified,Haribal et al. 2011,2011
Passeriforme,House sparrow,Passer domesticus,1,0,0,sampling period unclear,1,1,1,,Fluen 2008 (Master thesis),2008
Passeriforme,Japanese waxwing,Bombycilla japonica,1,0,1,,0,NA,0,,Zhang et al. 2013,2013
Passeriforme,Lance-tailed manakin,Chiroxiphia lanceolata,1,1,1,,1,1,1,,Whittaker et al. 2019,2019
Passeriforme,New Zealand Bellbird,Anthornis melanura,1,0,0,sampling period unclear,1,0,1,,Fluen 2008 (Master thesis),2008
Passeriforme,New Zealand Bellbird,Anthornis melanura,1,1,1,,0,NA,0,,Rasmussen 2013 (PhD thesis),2013
Passeriforme,New Zealand Fantail,Rhipidura fuliginosa,1,0,0,sampling period unclear,1,1,1,,Fluen 2008 (Master thesis),2008
Passeriforme,New Zealand Fantail,Rhipidura fuliginosa,1,0,1,,0,NA,0,,Rasmussen 2013 (PhD thesis),2013
Passeriforme,Pipipi,Mohoua novaeseelandiae,1,1,1,,0,NA,0,,Rasmussen 2013 (PhD thesis),2013
Passeriforme,Red-vented bulbul,Pycnonotus cafer,0,NA,0,,1,1,1,,Bhattacharyya et al. 1995,1995
Passeriforme,Rifleman,Acanthisitta chloris,1,0,1,,0,NA,0,,Rasmussen 2013 (PhD thesis),2013
Passeriforme,Silvereye,Zosterops lateralis,1,0,0,sampling period unclear,1,1,1,,Fluen 2008 (Master thesis),2008
Passeriforme,Silvereye,Zosterops lateralis,1,0,1,,1,0,1,,Azzani et al. 2016,2016
Passeriforme,Silvereye,Zosterops lateralis,1,1,1,,0,NA,0,,Rasmussen 2013 (PhD thesis),2013
Passeriforme,Song sparrow,Melospiza melodia,1,1,0,data also used in Grieves et al. 2019c,1,1,0,data also used in Grieves et al. 2019c,Grieves et al. 2020,2020
Passeriforme,Song sparrow,Melospiza melodia,1,0,1,,1,1,0,sexes unspecified,Grieves et al. 2018,2018
Passeriforme,Song sparrow,Melospiza melodia,0,NA,0,,1,1,0,sexes unspecified,Haribal et al. 2005,2005
Passeriforme,Song sparrow,Melospiza melodia,1,1,1,,0,NA,0,,Grieves et al. 2019a,2019
Passeriforme,Song sparrow,Melospiza melodia,1,1,1,,1,1,1,,Grieves et al. 2019c,2019
Passeriforme,South Island robin,Petroica australis,1,0,0,sampling period unclear,1,1,1,,Fluen 2008 (Master thesis),2008
Passeriforme,South Island robin,Petroica australis,1,1,1,,0,NA,0,,Rasmussen 2013 (PhD thesis),2013
Passeriforme,South Island saddleback,Philesturnus carunculatus,1,0,0,sampling period unclear,1,0,1,,Fluen 2008 (Master thesis),2008
Passeriforme,Spotless starling,Sturnus unicolor,1,1,1,,1,1,1,,Amo et al. 2012,2012
Passeriforme,White-throated sparrow,Zonotrichia albicollis,0,NA,0,,1,1,0,sexes unspecified,Haribal et al. 2005,2005
Passeriforme,White-throated sparrow,Zonotrichia albicollis,0,NA,0,,1,1,0,sexes unspecified,Thomas et al.2010,2010
Passeriforme,White-throated sparrow,Zonotrichia albicollis,1,1,1,,1,1,1,,Tuttle et al. 2014,2014
Passeriforme,White-throated sparrow,Zonotrichia albicollis,1,1,1,,1,1,1,,Forrette et al. 2018,2018
Passeriforme,Yellowhammer,Emberiza citrinella,1,0,0,sampling period unclear,1,1,1,,Fluen 2008 (Master thesis),2008
Phoenicopteriforme,Greater flamingo,Phoenicopterus roseus,1,1,1,,1,1,0,sexes unspecified,Amat et al. 2018,2018
Procellariforme,Antarctic prion,Pachyptila desolata,1,0,1,,0,NA,0,,Bonadonna et al. 2007,2007
Procellariforme,Antarctic prion,Pachyptila desolata,1,1,1,,0,NA,0,,Mardon et al. 2010,2010
Procellariforme,Blue petrel,Halobaena caerulea,1,1,1,,0,NA,0,,Mardon et al. 2010,2010
Procellariforme,Cory's shearwater,Calonectris diomedea,1,0,1,,0,NA,0,,Gabirot et al. 2016,2016
Procellariforme,Leach's storm petrel,Oceanodroma leucorhoa,1,0,1,,0,NA,0,,Jennings et al. 2020,2020
Psittaciforme,Budgerigar,Melopsittacus undulatus,1,1,1,,0,NA,0,,Zhang et al. 2010,2010
Psittaciforme,Budgerigar,Melopsittacus undulatus,1,1,0,data used in Zhang et al. 2010,0,NA,0,,Mardon et al. 2011,2011
Psittaciforme,Crimson rosella,Platycercus elegans,1,1,1,,1,1,1,,Mihailova 2014 (PhD thesis),2014
Sphenisciforme,King penguin,Aptenodytes patagonicus,1,0,1,,0,NA,0,,Gabirot et al. 2018,2018
